,Chat_msg,sent,sentiment
5503,harlo,,0
5504,hey   guys,,0
5505,slowly getting ready for sleep   might sleep in few hours,,0
5506,good good hbu man  ,,0
5507,thats good to hear just woke up from a hangover hahah,,0
5508,whats up fam,,0
5509,hey fam all good and you,,0
5510,hows everyone,,0
5511,looks like it did you list your bohemian and swap wallet  ,,1
5512,did i loose my role ,,-1
5513,yo,,0
5514,thanks,,0
5515,hello from defi pirates,,0
5516,oh just saw your ticket lets talk there,,0
5517,feel free to ask your questions to me what do you want to know  ,,0
5518,brilliant cheers ma man,,1
5519,nope youre all good,,0
5520,greetz from alpha club  ,,0
5521,wassup fam,,0
5522, ,,0
5523,hello everyone i was in the military for a long time and did not have internet now there is mint and i do not know enough about what it is i read the announcements but i have questions in my mind,,-1
5524,so if u have a master guru u don t have to submit ur wallet for the airdrop right ,,1
5525,i kinda forgot that my nitro ran out and my  changed so i submitted the form twice ,,-1
5526,       ,,0
5527,lfg,,1
5528,lfg,,1
5529,if you havent seen the channel yet   ,,-1
5530,gm,,0
5531, ,,0
5532,be sure to submit the wallet,,1
5533,thanks,,0
5534,you already have it  ,,0
5535,oh got it already,,0
5536,how do i claim wl,,1
5537,lfg,,1
5538,yo,,0
5539, ,,0
5540,gm,,0
5541,hi fam,,0
5542,whats up everyone,,0
5543,gm,,0
5544,sup,,0
5545,yep yep,,0
5546,as i said airdrop will last till early tuesday so no hurry,,0
5547,airdrop is still on going kindly check ,,1
5548,gm guys,,0
5549,it is normal fam,,0
5550,hi,,0
5551,am i the only one who still hasn t received airdrop,,-1
5552,heyy,,0
5553,hey  ,,0
5554,hi,,0
5555,hello,,0
5556,sup,,0
5557,gm,,0
5558,hi,,0
5559,gm,,0
5560,gm,,0
5561,gm everyone,,0
5562,yo,,0
5563,gotcha thanks,,0
5564,oh no worries mate,,0
5565,around  i believe,,0
5566,i cant see tickets sorry about that,,0
5567,how much is it on fff ,,1
5568,i already did can you check it out,,0
5569,hello fam,,0
5570,open a ticket and send proof ,,0
5571,i won wl of bohemian fabulosa how can i get wl,,1
5572,hello,,0
5573,yeah,,0
5574,i can buy it on fff,,1
5575,hi,,0
5576,youll receive throughout the weekend and monday,,0
5577,yeah talisman drop is ongoing for guru holders and talisman masters i,,1
5578,great,,0
5579,yep,,0
5580,thanks buddy if i get the token then i can mint ,,1
5581,hello fam,,0
5582,yo,,0
5583,hey so what are these eggs  i have a bunch of guru masters im assuming tailsmans havnt been dropped yet ,,0
5584,hi from robot mafia club,,0
5585,hiii,,0
5586,already have your wallet,,1
5587,submit wallet,,1
5588,lmao  wake up bro im trynna open a ticket  ,,0
5589,bet,,0
5590,i need token address for babulios,,1
5591,open a ticket and send some proof ,,0
5592,gang,,0
5593,what can i help you with,,0
5594,good daaay,,0
5595,lfg,,1
5596,  could u help me,,0
5597,thank you,,0
5598,yeah it will start after wallet submission ends,,1
5599,pls for talisman master ll the airdrop will be tomorrow,,1
5600,shit you know more than me baller,,0
5601,no problem,,0
5602,but if u dont believe me open a ticket  ,,-1
5603,good evening bros,,0
5604,its how it worked so far fam ahahah,,0
5605,hello fam,,0
5606,hi,,0
5607,i mean thanks but i think you might be wrong here,,0
5608,welcome,,0
5609,wait a bit if u dont receive it feel free to open a ticket  ,,-1
5610,you should be good to go fam,,0
5611,from infected mob i won the giveaway i have to fill out a form and complete a twitter handshake in here apparently,,0
5612,hi from ghostface,,0
5613,u gonna be good bro pretty sure they wouldnt run it if you wont be able to get wl,,-1
5614,for the giveaway winners,,0
5615,gotcha but isn t wallet submission gonna be closed tomorrow,,1
5616,which form fam,,0
5617,if not ,,0
5618,where is the form and twitter handshake located,,1
5619,kindly wait a couple of hours you should receive the role fam,,1
5620,hi,,0
5621,hlo,,0
5622,hi,,0
5623,hi where do i submit giveaway proof ,,0
5624,yeah as long as you have a wl pass or if it reaches public you good,,1
5625,gm,,0
5626,where can i verify token adress,,1
5627,help,,0
5628,yes everyone will be able to mint ,,1
5629,ayooooo,,0
5630,i am not a previous holder of bohemia  still should be able to mintt this collection right ,,0
5631,just won a giveaway from ghostface,,1
5632,correct,,0
5633,guys this is the token right ,,0
5634,gotcha thanks,,0
5635,oh i thought y all are mods kek sorry,,0
5636,congratulations    ,,1
5637,happy to know that,,1
5638,you gotta wait for a mod sorry fam,,0
5639,hi,,0
5640,i cant do that bud im just a holder waking up and having some coffee these people are on it though they will get you asap,,0
5641,idk fam sorry,,0
5642,hi,,0
5643,yeah i believe therell be a holder section for fabulosa as well,,1
5644,okay thanks  what s the reason for not being able to check,,0
5645,hello ser could you please view my ticket,,0
5646,essentially,,0
5647,so just hope i did and i receive it,,0
5648,congratulations,,1
5649,no sorry fam those who have talisman master ii cant check the wallet im afraid,,0
5650,yo is there anyway to check we ve submitted our wallets,,1
5651,waiting for mine kek,,1
5652,those who will get fabulosa will join bohemia community ,,1
5653,thanks bo bo    ,,0
5654,omg i got the tailsman,,1
5655,hiiii y all  ,,0
5656, ,,0
5657, sol floorso expensive,,-1
5658,congrats mob fam,,1
5659,sup,,0
5660,h,,0
5661,thanks,,0
5662,yo,,0
5663,congrats,,1
5664,im looking forward to the fabulosa for sure,,1
5665,is the wl token based ,,1
5666,i won wl from infected mob just waiting now,,1
5667,i hope you are doing well,,0
5668,hello guys,,0
5669, sol for wl,,1
5670,whats mint price,,1
5671,hey,,0
5672,art work looks sick waiting to join the bohemia fam,,1
5673,gm,,0
5674,yeah already answered hahaha,,0
5675,they have a  swap,,0
5676,famous fox federation,,1
5677,what is the via fff,,0
5678,gm bohemia,,0
5679, ,,0
5680,thanks for helping gents,,0
5681,lol,,0
5682,tried it on my second account it asks you to sign in a transaction on metamask lmao,,-1
5683,no chance,,0
5684,j gonna lose all of my nft to one lucky scam bot,,-1
5685,stay safe many scammers out there,,-1
5686,yea bro i heard,,0
5687,like never,,0
5688,never click any link in dms,,0
5689,yeah dont do that fam,,0
5690,thanks bro wasnt  but glad i asked before clicking that shit  ,,0
5691,scaam v,,0
5692,yo lads,,0
5693,gm,,0
5694,hi,,0
5695,if so im not clicking that link lol,,0
5696,nobody else had to do that,,0
5697,welcome   please verify yourself to gain access to bohemia                                                                                                                                                                                                       if you do not verify within  minutes you will be kicked   verification required click here to verify to gain access to bohemia you need to prove you are a human by completing a captcha,,0
5698,what did it dm you,,0
5699,gonna guess it is,,0
5700,all gd mate wish yu also doin great,,0
5701,the captcha bot dm me is that a fishing link,,0
5702,sup fam,,0
5703,congrats,,1
5704,holaaaa,,0
5705,im a winner baby,,1
5706,ayyyyyy,,0
5707,yo,,0
5708,gn,,0
5709, ,,0
5710,the token address of the talisman is ,,1
5711,does anyone know token addresss,,1
5712,token,,0
5713, is it token or wallet based,,1
5714,heyyy,,0
5715,guys what the wl token address for fabulosa,,1
5716,gm,,0
5717,always some bohos on hand to clear up doubts,,0
5718,if not received,,0
5719,i believe you will receive the list for winners of our flash giveaway shortly,,0
5720,lots of info on announcements but any questions feel free to ask,,0
5721,oooo ok thanks thanks,,0
5722,hey fam   ,,0
5723,gm,,0
5724,thank you sir  ,,0
5725,ayo,,0
5726,welcome xin fam ,,0
5727,xin dragon fire  ,,1
5728,lfg,,1
5729,hi from xin  ,,0
5730,i havent received it,,-1
5731,guys who is eligible for fabulous token mint,,1
5732,heat here,,0
5733,hows it going,,0
5734,xin dragons here  ,,1
5735,hi,,0
5736,xin dragons flash wl gw winner,,1
5737,hey famm,,0
5738,heyo guys,,0
5739,yessir,,0
5740,hello,,0
5741,where can i check token address for fabulous,,1
5742,sup guys,,0
5743,gm have an amazing day everyone ,,1
5744,ok,,0
5745,gm,,0
5746,nope infected mob got a specific form to fill out,,0
5747,gotta do that we will raffle all applications from that form tomorrow,,0
5748,do you have here,,0
5749,no,,0
5750,yes,,0
5751,we have t  fill a form,,0
5752,did you fill out the dyno form in the infected mob discord,,0
5753,for you too buddie,,0
5754,what i must to do to get wl im from infected mob,,1
5755,hii happy sunday guys,,0
5756,ty bro,,0
5757,warmth welcome guys,,0
5758,hello from infected mob,,0
5759,we already have your wallet ,,1
5760,u have a bohemia,,0
5761,u get it airdropped,,1
5762,hi from infected mob,,0
5763,where do we submit talisman wallet,,1
5764,hey guys salute from infected mob   ,,0
5765,heya boyz,,0
5766,yes do that,,0
5767,hi,,0
5768,i won a wl in my comunity criptspad open a ticketor,,1
5769,ok,,0
5770, ,,0
5771,hey mate gm,,0
5772,gm,,0
5773,yo,,0
5774,woop woop,,1
5775,whats good everyone  ,,0
5776,hello,,0
5777,hey,,0
5778,gm al,,0
5779,gg,,1
5780,lfggg fam,,1
5781,woopwoop,,1
5782,love fabulosa art lfg,,1
5783,you can buy token via fff i never sell token and want mint this,,1
5784,k,,0
5785,gm,,0
5786,got my token ready for mint,,1
5787,hi from oneira,,0
5788,hmmm,,0
5789,gm,,0
5790,hows everyone,,0
5791,just got back from a camp,,0
5792,gm all,,0
5793,warmth welcome guys   ,,0
5794,hi,,0
5795,hi,,0
5796,nope we already have your wallet  please find the excel sheet in  and double check it ,,0
5797,hello,,0
5798,welcome,,0
5799, hey mate i won a wl spot at nftme should i open a ticket,,1
5800,thanks,,0
5801,s,,0
5802,morning morning,,0
5803,gm man welcome    ,,0
5804,good morning i m from crystpad,,0
5805,authorities when they find out what the kids are doing online,,0
5806,hey what is this can you please explain,,0
5807,thanks   ,,0
5808, ,,0
5809,lol dont know what to think about defi gambling like that ,,0
5810,we already got your wallet through the forms you submitted you can check and find your wallet in one of the posts in  ,,1
5811,theres a trick to play,,0
5812,super lucky,,1
5813,am i still sending my wallet address saw the announcements,,1
5814,where you can double your sol or rug yourself,,1
5815,they will check all tickets as soon as they can as you can probably imagine we receive tons of tickets daily im sure they will check it and address you as soon as they can,,0
5816,what was degen coin flip,,0
5817,  thanks,,0
5818,can you please tell the team to check my ticket,,0
5819, ,,0
5820,wtf how lucky,,1
5821,might be slim chances check one of the posted post on   and try some giveaways on twitter,,0
5822,i just made  sol from degen coin flip ready for fabulosa mint ,,1
5823,yo,,0
5824,is there still a chance to be whitelisted,,1
5825,hey,,0
5826,off course,,0
5827,hsllo,,0
5828,ser,,0
5829, sol,,0
5830,how much is mint,,1
5831,so excited,,1
5832,yo,,0
5833,i got my talisman lfg,,1
5834,gm,,0
5835,can we still enter the giveaway if we are wl already,,1
5836,yoyoyow,,0
5837, talisman giveaway on twitter,,1
5838,gm,,0
5839, sol i think,,0
5840,havent gotten my talismans yet,,-1
5841,any announcement for mint price,,1
5842,yo,,0
5843,yes some listed on fff,,0
5844,gm          ,,0
5845,yes,,0
5846,lfg,,1
5847,did the talisman airdrop start,,0
5848,im bullish on solana and bearish on crypto,,0
5849,bullish on solana,,-1
5850,bullish,,-1
5851,yooo,,0
5852,oi,,0
5853,hello,,0
5854,excited,,1
5855,will i will receive my token,,0
5856,i submitted my wallet just now,,1
5857,ergh,,0
5858, sol,,0
5859,how much talismans are selling at right now ,,1
5860,hello,,0
5861,got it,,0
5862,yup i think so ,,0
5863,maybe bugged on mobile,,-1
5864,or something,,0
5865,i u press the lens,,0
5866,can u press confirm on the search top right somehow,,0
5867,token name i want to,,1
5868,hey,,0
5869,yes,,0
5870,is token distribution started,,1
5871,mint price,,1
5872,hows everyone doing ,,0
5873,token,,0
5874,wallet  ya token,,1
5875,can u send ss not showing  ,,-1
5876,gm fam,,0
5877,otherwise secondary,,0
5878,u can buy a wl token on fff and mint yourself,,1
5879,or something,,0
5880,its price will increase after mint at that time i will be at a loss,,0
5881,maybe u copied a space,,0
5882,let m check again,,0
5883,search the token address on fff token marketplace,,1
5884,must be something on your end,,0
5885,it shows for me perfectly,,0
5886,then ,,0
5887,ik that,,0
5888, are,,0
5889,thats the address,,0
5890,then maybe none are listed,,0
5891,not showing on fff,,-1
5892,buying from magic eden or any other market after mint,,1
5893,hello out to get more roles here,,0
5894,famous fox token market,,1
5895,im new here can u please tell me what is second market sir,,0
5896,hello,,0
5897,hello,,0
5898,second market its always a good option,,1
5899,very difficult,,-1
5900,hello,,0
5901,hello guys,,0
5902,then how to get wl sir,,1
5903,nope,,0
5904,iam wl or not sir,,1
5905,yes,,0
5906,   ,,0
5907,submitting wallet is only for wl people,,1
5908,ty so guarentee mint,,1
5909,noo,,0
5910,i want to submit my wallet,,1
5911,is it over allocated,,0
5912,what do you mean wl fcfs,,1
5913,hi fam,,0
5914,hi,,0
5915,is wl fcfs btw,,1
5916,just check which wallet recieved the token on recent activity tab of phantom wallet on tomorrow,,1
5917,hi,,0
5918,gm,,0
5919,hi from mbb,,0
5920,hello,,0
5921,correct,,0
5922,ty,,0
5923,ongoing,,0
5924,hehe,,0
5925,hi,,0
5926,woopwoop,,1
5927,and so i should expect talisman airdrop right,,0
5928, ,,0
5929,so yeah u filled your wallet address,,1
5930,i need to check,,0
5931,oh right thanks,,0
5932,i forgot it,,0
5933,yes,,0
5934,arent u guy already filled it before win the wl spot,,1
5935,bruh,,0
5936,link,,0
5937,u guys submitted on dyno form,,1
5938,how to submit wallet,,1
5939,u did on the dyno form,,0
5940,guru masters dont have to submit wallet i assume,,1
5941,gm,,0
5942,gm,,0
5943,again where should i submit the wallet  ,,1
5944,gm,,0
5945,hi,,0
5946, ,,0
5947,distributed yet,,0
5948, ,,0
5949,gm,,0
5950,hi,,0
5951,you can check on fff  you have the token adress in ,,0
5952,yo,,0
5953,yoo,,0
5954,from where i can buy token,,1
5955, dm,,0
5956,hello fam,,0
5957,and how to get that,,0
5958,hi,,0
5959,you need talisman master role,,0
5960,hi,,0
5961,where is the form that we should fill,,0
5962,woopwoop,,1
5963,from generous robots,,0
5964,wasuup,,0
5965,yoo,,0
5966,tomorrow all the talisman masters ii will be airdropped,,1
5967,hello mate,,0
5968,morning boss,,0
5969,gm fam,,0
5970,gm,,0
5971,yo,,0
5972,how are you doing today,,0
5973,i submited dino form yesterday wen collection wallet updated ,,1
5974,sup,,0
5975,hello fam  ,,0
5976,its on going,,0
5977,hi,,0
5978, thats the token,,0
5979,did the airdrop happen ,,0
5980,on fff,,1
5981,yes,,0
5982,can i buy extra wl tokens on secondary market,,1
5983,hey all,,0
5984,hello,,0
5985,hi,,0
5986,gm fam,,0
5987,happy sunday boss,,1
5988,hi,,0
5989,morning,,0
5990,yo,,0
5991,wen wl   ,,1
5992, ,,0
5993,okay thanks for return  ,,0
5994,we gonna look into it,,0
5995,yo,,0
5996,soo will the token be verifed,,1
5997,oh okay i keep waiting,,0
5998,correct,,0
5999,yo,,0
6000,oh   have a problem then d,,0
6001,good morning everyone,,0
6002,i think finish,,0
6003,distribution is still going on right ,,1
6004,all,,0
6005,gmmm guyss,,0
6006,all,,0
6007,gm faaam,,0
6008,gm,,0
6009,where are you from,,0
6010,or just for talisman masters,,1
6011,all the talismans are sending out,,0
6012,hello fam,,0
6013,thank you,,0
6014,gm,,0
6015,yes fabulosa is the name of upcoming collection,,1
6016,good,,0
6017,fabolousa is the name of bohemia  gen right,,0
6018, atm,,0
6019,gm,,0
6020,hw are you doing,,0
6021,fff price ,,1
6022,hi,,0
6023,hi,,0
6024,incase anything just make sure you use the token address at ,,0
6025,u cant get scammed,,-1
6026,but  is the token,,0
6027,whats up,,0
6028,they prob will,,0
6029,will you verify token on fff,,1
6030,if someone is listing there you can buy it,,1
6031,yes check the wl token address in ,,1
6032,this one,,0
6033,yes,,0
6034,guys can we buy token from fff,,1
6035,yo,,0
6036,got it,,0
6037,hii,,0
6038,thanks for the answer,,0
6039,talisman is the wl token name if you mean fabulosa you can check  for some of the benefits for now if there iwll be more in the future who knows  ,,1
6040,thats very good,,0
6041,will tailsman have any other benefits,,0
6042,gm,,0
6043,good,,0
6044,all goof,,0
6045,yoo,,0
6046,morning,,0
6047,cool and you,,0
6048,gm,,0
6049,gm,,0
6050,wassup fam    ,,0
6051,gm everyone,,0
6052,gm,,0
6053,hey,,0
6054,how do we confirm that our wallet address is entered,,1
6055,hello,,0
6056,hi   ,,0
6057,i am super lucky    ,,1
6058,whats good,,0
6059,if its a collab yes talisman master is the role for wl winners,,1
6060,hello mate,,0
6061,right,,0
6062,hello everyone,,0
6063,no role  no token  ,,0
6064,how i can know it win or not,,0
6065,wl winners get the role talisman master the form was used as raffle,,1
6066, this and gform,,0
6067,in giveway on other project i find gform where need send wallet for this project,,1
6068,what do you mean by mistake if you entered you still have a chance at winning a talisman,,0
6069,where did u input it where u from,,0
6070,hi if i send google form with my wallet i will get token,,1
6071,hi mates,,0
6072,mornin fam,,0
6073,it s a raffle so once you ve entered you loose the tickets,,0
6074,do you mean the sorting hat raffle,,0
6075,hi,,0
6076,sup,,0
6077,hi,,0
6078,memes  ,,0
6079,whats up,,0
6080,hello everyone,,0
6081,bhai tuze kaise mila  ,,0
6082,nhi hu wl mkl,,1
6083,wl wl wl what problems,,1
6084,hi,,0
6085,just use the token address in  and all good,,1
6086,yoo,,0
6087,talisman token on fff not verified yet,,-1
6088, thank you so much buddy,,1
6089,congrats,,1
6090,gm  ,,0
6091, ,,0
6092,gm everyone,,0
6093,gm,,0
6094,hey guys gm,,0
6095,hello,,0
6096,i got my talisman,,0
6097,nothing much,,0
6098,seeing a movie wbu,,0
6099,im doing great wbu,,0
6100,how are you doing bro,,0
6101,wassup everyone,,0
6102,hey,,0
6103,i wanted to get wl,,1
6104,nice mate,,0
6105,lfg,,1
6106,its on the ,,0
6107,check in ,,0
6108,gm,,0
6109,whats the token address for the token which u got,,1
6110,i am waiting,,0
6111,gm,,0
6112,great,,0
6113,nice airdrop woopwoop,,1
6114,just got my talisman,,0
6115,you can mint febulosa nft on mint date with  sol,,1
6116,woopwoop,,1
6117,sleek ,,0
6118,waiting for the same,,0
6119,i have created the ticket  days ago,,0
6120,ok ser,,0
6121,wait for the mint day ,,1
6122,wen ticket boss,,1
6123,yo,,0
6124,gm guys,,0
6125,gm everyone,,0
6126,hi,,0
6127,hi,,0
6128, i got airdropped the talisman how do i go about it ser gm,,1
6129,show some  patience bro  they will check and give you role,,0
6130,hello,,0
6131,havent got the spot yet,,-1
6132,congratulations,,1
6133,i have submitted the name in twitter also have created the ticket in dc,,0
6134,i have won a wl spot in a twitter giveaway,,1
6135,hello,,0
6136,hello,,0
6137,hi,,0
6138,f yeh,,0
6139,just got my talisman,,0
6140,gm,,0
6141,i am enjoying the cool weather,,1
6142,woopwoop,,1
6143,got my talisman ,,0
6144,where to fill the form,,0
6145,hello from moon bears,,0
6146,hello from moonbears,,0
6147,gm,,0
6148,wew,,0
6149,hii,,0
6150,woopwoop,,1
6151,wooop,,0
6152,hi,,0
6153,mugiwara,,0
6154,staysafe fam,,0
6155,hello from mbb,,0
6156,hello,,0
6157,hi,,0
6158,it s raining now  ,,1
6159,gm faded,,0
6160,gm,,0
6161,welcome fam,,0
6162,just chillin   and u,,0
6163,thanks for having me,,0
6164,gm here from monkey baby business,,0
6165,lfg,,1
6166,it was recently announced sir,,0
6167,do any of the mods know when is the winner for the twitter contest on the story time of the fabulosa gonna be announced,,0
6168,yes sir,,0
6169,what do i do with transpotari  to  that i have in my wallet,,1
6170,good to see you my guy how are doing today ,,0
6171,whats up,,0
6172, here fam,,0
6173,where can i read more about fabulosa utility,,1
6174,ayo,,0
6175,oh ok,,0
6176,yes wl only mint unminted wl will then go public,,1
6177,talisman only mint supply,,1
6178, have u done this,,0
6179,ok,,0
6180,  ,,0
6181,talisman  and  are the same both wl,,1
6182,whats the supply for fabulosa,,1
6183,the talism  is can not mint,,-1
6184,means,,0
6185,its just the same as    we just use it for organizational purposes  ,,0
6186,there is nothing different in  or ,,0
6187,hey bro can you explain why my role is talism ,,0
6188,welcome,,0
6189,hello,,0
6190,no just check if its there  ,,0
6191,yes,,0
6192,alright,,0
6193,no check  and check the form to check your wallet your wallet has been collected from dyno form,,1
6194,gm,,0
6195,for tailsman master do we need to open ticket and say wallet address is crct to verify,,1
6196,hi,,0
6197,ok sir thx,,0
6198,just write chosen one and all good,,0
6199, sir what should i write in project where you won talisman in dyno form ,,1
6200,yes be safe sir,,0
6201,we about to have  possible this week crazy,,1
6202,yes bro cities are polluted  delhi  most polluted city on earth,,-1
6203,no i am  and no typhoon,,0
6204,nice it s quieter air is fresher  ,,1
6205,oooh not much typhoons there,,0
6206,yes bro i live with nature,,0
6207,be careful but we are in typhoons free zone  north india,,0
6208,yo check my ticket ,,0
6209,gm,,0
6210,india bro,,0
6211,no here its in time,,0
6212,we have  possible typhoons heading this week,,0
6213,where u from again,,0
6214,thought monsoon season comes later a little too early no,,0
6215,its raining here from  days,,0
6216,hello  ,,0
6217,looks like rural area,,0
6218,congrats  ,,1
6219,gm,,0
6220,hi,,0
6221,gn,,0
6222,gn,,0
6223,weather here cool  ,,0
6224,aight imma head out for a while again  ,,0
6225,yes sir i will,,0
6226,congrats   stay active,,1
6227, time what im confused idid undertstand what u said first  ,,0
6228,holding,,0
6229,for me  time and,,0
6230,  ,,0
6231,hahaha nah i just dont get what typed,,0
6232,i am so happy,,1
6233,no,,0
6234,ill remove it hahhaa,,0
6235,u dont want it,,0
6236,  thx  ,,0
6237,are you serious sir,,0
6238,first time for u,,0
6239, congrats  ,,1
6240,yay,,0
6241,what u mean hahaha,,0
6242,loosk people stilln not uderstanding soon it will hit  screen shot it save it see after see  years noobs,,0
6243,hii bro,,0
6244,yes sir,,0
6245,hello  ,,0
6246,oooh still early  ,,0
6247,btw today is very important  deciding  day for me,,0
6248,yes  here sir,,0
6249,u boho holder fam get verified at ,,0
6250,damn what time is it over ythere,,0
6251,welcome check  and  for fabulosa,,0
6252,hai,,0
6253,welcome,,0
6254,nice i just had breakfast have you had your breakfast,,0
6255,hey,,0
6256,gm fam,,0
6257,doing good busy right now but doing good  ,,0
6258,gm everyone,,0
6259,hi,,0
6260,how is your sunday going,,0
6261,hello sir,,0
6262,welcome everyone woopwoop,,1
6263,here are many indians,,0
6264,yes bro,,0
6265,lfg,,1
6266,gm,,0
6267,any indian,,0
6268, ,,0
6269,woop,,1
6270,gm,,0
6271,make sure to check it multiple times as well ,,0
6272,wait for the team to address it thanks,,0
6273,oh,,0
6274,opened  hrs ago just woke up too so went to check  ,,0
6275,they are sleeping now its mid night there,,0
6276,yeah waiting for them to get back  ,,0
6277,i want wl so bad wl  free  sol,,1
6278,soon the team will get back to you,,0
6279,oh,,0
6280,my wallet is not in the google document,,-1
6281,for your already whitelisted,,1
6282,hey,,0
6283, can you pls check my ticket  ,,0
6284,sup fam,,0
6285,wait for the team to announced it ,,0
6286,should be talisman not  sure,,0
6287,gm,,0
6288,hello,,0
6289,yoo,,0
6290,how to submit wallet  ,,1
6291,gm,,0
6292,hi,,0
6293,gm everyone,,0
6294,  ,,0
6295,ah yeah wallet already submitted just checked the docs,,1
6296,wallet submission is opened,,1
6297,hi,,0
6298,woopwoop,,1
6299, ,,0
6300,wl token adress,,1
6301, can u please send the token adress of fabulosa,,1
6302,ohh tnks what is the name of the token,,1
6303,sir i am making some arts,,0
6304,it slowly started but will continue until monday ,,0
6305,ofc i will,,0
6306,if you received it can you share how its look like,,0
6307,gm,,0
6308,ooooo,,0
6309,gm,,0
6310,it is live  be patient,,0
6311,ayyo gm fam,,0
6312,it is live,,0
6313,hi the airdrop is live or not yet,,0
6314,welcome,,0
6315,wasaaaa,,0
6316,another indian happy   to see you bro,,1
6317,good morning,,0
6318,ok,,0
6319,as long as your guru master was staked during the snapshot ,,0
6320,gm,,0
6321,hello bro,,0
6322,hey,,0
6323,welcome all to bohemia,,0
6324,yes,,0
6325,oki i get an airdrop right,,1
6326,good morning sir,,0
6327,for guru master holder no need to submit addy ,,0
6328,do i need to submit addy,,0
6329,the talisman right,,0
6330,i will get airdropped,,1
6331,yo,,0
6332,gm everyone,,0
6333,gm,,0
6334,gm,,0
6335,hello welcome,,0
6336,don t know,,0
6337,hey guys,,0
6338,can still get wl ,,1
6339,hello,,0
6340,sneak peeks look sick,,1
6341,cool thank you,,0
6342,yo how are you,,0
6343,sup,,0
6344,good morning guys,,0
6345,hello gm gm,,0
6346,hello bohemians yesterday i bought my first bohemian and a love letter from magic eden and paid  woop to decipher it what do i have to do for the ayahuasca retreat thank you,,0
6347,hello,,0
6348,gm,,0
6349,gm,,0
6350,  ,,0
6351,yo,,0
6352,check out  httpsbohemiagallery,,0
6353,you probably haven t seen our staking site etc it is all about the art,,0
6354,glad you loved it,,0
6355,welcome all,,0
6356,hello love the website,,1
6357,finally picked up nestor many ppl been telling me about it but no one was willing to sell me at a decent price or poor timing i couldn t buy it when it was cheap somehow it finally happened earlier on,,-1
6358,good evening bohos,,0
6359,ayy nice what sniper is it,,1
6360,check which category you belong to,,0
6361,see this,,0
6362,hey,,0
6363,it s been good so far going to hunt for my coffee soon finally picked up a sniping tool at a discount from floor price going to fiddle with it,,1
6364,yoo i want to ask if the airdrop started,,0
6365,very well,,0
6366,all good and u   ,,0
6367,all good,,0
6368,heeey,,0
6369,im good and u ,,0
6370,hiii how are you,,0
6371,hbu,,0
6372,a chill weeknd,,0
6373,hii  ,,0
6374,hey   ,,0
6375,hii,,0
6376,great and you,,0
6377,heyyoooo how s your weekend going,,0
6378,hi,,0
6379,bohemia is staking to earn the woop so that you can have a gallery to showcase your stuff,,-1
6380,hiii,,0
6381,but you dun need a bohemia to take part in those raffles having a bohemia is to partake in the gallery and other stuff fabulosa is really just for raffles and access to bohemia,,0
6382,heh tough choices eh the raffle system is supposed to have quite insane prizes so if you love your raffles fabulosa is it  ,,0
6383,thats what got me here i really like the idea of the raffle system just not sure if i want to spend  on a bohemian or another rascal,,0
6384,yo,,0
6385,yes bro,,0
6386,fabulosa is different thing altogether it is just another utility  gamified raffle system that has very attractive prizes many ppl confuse that with the original roadmap this was just added utility,,0
6387,np fam  ,,0
6388,cool thank you,,0
6389,check   for brief overview if you haven t already done so,,0
6390,check  ,,0
6391,yeah my bohemians are staked to get the woop need to get them to be converted to  avatars end of the month so need  woop per  avatar conversion gallery metaverse is going to be a marketplace where i can showcase my collection bohemia is all about the art that s why they have gallery partnerships tied up with quite a few of the bigger name projects already,,0
6392,hey man i ve asked a few ppl this but i m still seriously considering a bohemian what s your opinion on how it is profitable you have quite a few  is it staking or are you too waiting on the gallery how are you going to come out in front is what i m really asking,,0
6393,it s filter in magic eden under  level  you can select guru master,,0
6394,heyy,,0
6395,there is no option in filter for guru,,-1
6396,gm,,0
6397,hey if you get a normal bohemia it is  per day if you pick up a guru master it is  per day filter  level  in me  select guru master to see,,0
6398, how many woop token did i get if i staked one bohemia  nft,,1
6399,gm,,0
6400,gm,,0
6401,yess me too,,0
6402,check out   for mint details,,1
6403,hope its been a good weekend so far,,0
6404,welcome all,,0
6405,gm,,0
6406,excited for this mint   ,,1
6407,gm,,0
6408,thanks,,0
6409,if we have  guru can we mint ,,1
6410,read the  for mint details yeah,,1
6411,lfg              ,,1
6412,talisman role is for winners of wl from other dao,,1
6413,for guru master holders as long as you staked it during snapshot you will get talisman token to mint on  july,,1
6414,no need to get that role,,0
6415,i am guru master,,0
6416,how do i get the talism n role,,1
6417,hi,,0
6418,yeah they are staking   ,,-1
6419,a few days ago,,0
6420,during snapshot,,0
6421,if you staked them then you will receive the talisman token so you can mint on  july,,1
6422,oh i have a few guru masters,,0
6423,not the message,,0
6424,just got all my whoop though   ,,0
6425,no your guru master,,0
6426,damn,,0
6427,haha i have missed a lot,,0
6428,guru master letters can be staked,,0
6429,guru master staked you will receive your talisman token,,0
6430,what do ya mean,,0
6431,end of the month concert  avatar for metaverse,,1
6432,how do i verify talisman,,0
6433,nope,,0
6434,okay so nothing related to the upcoming mint,,0
6435,they will be used for the big bang  avatars,,0
6436,lfg,,1
6437,do we know what these do yet,,0
6438,i need to get caught up,,0
6439,hello,,0
6440,welcome everyone,,0
6441,hi,,0
6442,yoo,,0
6443,yo,,0
6444,gm,,0
6445,good morning guys,,0
