,Chat_msg,sentiment
1751,lol dont do this,0
1752,take me with you for the invasioni dont want to be left alone,0
1753,alright no shii,0
1754,e no easy rara,0
1755,thank you,0
1756,no its not,0
1757,one last call,0
1758,well   thinks am not worthy enough to access the portal  the doesnt know im a warrior,0
1759,hi,0
1760,shey na till when i drop  pictures,0
1761,done,0
1762,pls notice me,1
1763,isnt that too much risk,0
1764,av,0
1765,i think id have to cut myself to get d og,1
1766,bruhh submit the one you have first,0
1767,haha,0
1768,listen to the pleas,1
1769,a,0
1770,omo iya mi,0
1771,wl pls,1
1772,prince of lol,0
1773,waiting to be purple so i fill up,1
1774,you oged all the people i talked to on here wen we just started and you keep fading    why oh great one  whyyyyyy,0
1775,thanks man,0
1776,you dey speak pidgin you never ready,0
1777,omo iya mi,0
1778,i literally watched u turn red,0
1779,dont let me down im your bullish devotee im craving an og role,1
1780,a,0
1781,youre killing me,0
1782,what s good bro,0
1783,congratulations to all the winners dont forget to submit your wallet in  everyone has to submit even if youve submitted it before,1
1784,sigh jhor nauuu,0
1785,sol bruj,0
1786,a,0
1787,a,0
1788,i don submit proof una never gimme wl,1
1789,lmfaoooo,0
1790,wl please,1
1791,see and bless,0
1792,wl please,1
1793,how did you get ur og role,1
1794,sigh alright if ita not game  how do you plan on distributing the rest  wl sir,1
1795,wl pls,1
1796,omo,0
1797,fomo,0
1798,i need some pepsiman,1
1799,going my best bro,0
1800,if not move on to the next one,0
1801,whats your problem with that,0
1802,good night,0
1803,gib all joy,1
1804,relax young warlock       youll get it,1
1805,a,0
1806,wl pls,1
1807,so hyped,1
1808,you def was not active,0
1809,anyone whos down for a collab,1
1810,gib wl,1
1811,hi,0
1812,when will u bless me,1
1813,please gib me wl,1
1814,in the giveaway,1
1815,please i need a wl to do that  andi have been begging for it please,1
1816,don t even love me to consider me og,1
1817,can i be ur og,1
1818,im having fun here if i cant get noticed  let me have little fun,0
1819,jeez,0
1820,a,0
1821,hop,0
1822,gl to everyone,0
1823,you just called my name,0
1824,yu wanna buy wl,1
1825,hi,0
1826,bless the,1
1827,ive being in this server for quite a while now and i get nothing while the newbies just joining get wl,1
1828,hi guys,0
1829,joy is coming,1
1830,hey fam,0
1831,you do need it,0
1832,hahahah,0
1833,when,0
1834,what gives thee the thinking that thou is seen as enormous before thy prince,0
1835,guys whats up what time are we minting tomorrow,1
1836,i m your og and you know it   you don t love me anymore,1
1837,the chat so super active,0
1838,bless me,1
1839,show your boy love na,0
1840,og or,1
1841,waiting for og role so i can submit,1
1842,ok we assemble at,0
1843,being a member for a while nowgib me wl,1
1844,if you re still having issues let me know,0
1845,wl,1
1846,mf,-1
1847,lol,0
1848,okay,0
1849,supreme being is your saviour lol,0
1850,a,0
1851,create for us a game for og wl at least grant this wish my man,1
1852,sure,0
1853,when og,1
1854,that s fair,0
1855,alot of pple didnt claim their role alot are asking for it too,0
1856,youre mistaken,0
1857,im having issues submitting my wallet here  it says i need warlock list,1
1858,lol,0
1859,heyyo,0
1860,follow the link in that channel and obtain your whitelist,1
1861,we go dey alright,0
1862,yes boss but then when og,1
1863,where is my og role   i m still waiting for you to do the needful,1
1864,i think theres a higher number of good compared to evil anywhere in the world or maybe the eu,0
1865,good evening guys,0
1866,being a member for a while now gib me wl,1
1867,gg guys,1
1868,yea,0
1869,ayoooo maybe not,0
1870,i hope so,0
1871,yes,0
1872,y all help tell supreme he s fading his oldest og,1
1873,gib wl let me also meet the deadline to submit addy,1
1874,pls make my birthday a good one for me  wl would do,1
1875,please make me purple,1
1876,ill so rush and obtain my og role if given,1
1877,we really want this   see people are turning up,1
1878,not in the same quantity though,0
1879,he see us dear,0
1880,when og,1
1881,all done give me og to make it whole please,1
1882,hello please i dont k ow how to go about the,0
1883,na wa,0
1884,og yet,1
1885,yes if the faith is like a mustard seedi will tell  to gimme og role and he gives me,1
1886,lfg,1
1887,omo eeehhh,0
1888,little one,0
1889,done,0
1890,some still need wl,1
1891,the invasion is coming and they ain t never expect it,0
1892,lol hes watching you carefully  you colour will soon change    old og,1
1893,when wl,1
1894,please bless me with wl,1
1895,lets do this,1
1896,yeahhh,0
1897,ok then little one,0
1898,yh bro,0
1899,ngmi,0
1900,theres a whole of good compared to that,0
1901,where are you from,1
1902,i know right,0
1903,we are going to invade tomorrowwww,1
1904,yes bro am ready,0
1905,wtf i didnt lol,0
1906,i wont be claiming og,1
1907,lfg,1
1908,been telling them all,0
1909,a,0
1910,gib wl blz,1
1911,hello welcome to the team  are you ready for the invasion   no your not,0
1912,create a nice game for the remaining  ogspots,1
1913,human rights abuse racism rape among others,-1
1914,no wl,1
1915,warlocksss,0
1916,everyone   i know i know  i know i ve made  last call to submit address  more than  time now  but this is really the last call for anyone with wl to submit addresses on mercury  follow the steps in  to submit address  having issues clear cache and try a different browser you could use phantom browser too,1
1917,you called me,0
1918,yes i have hopebelieve i am getting it,1
1919,cant wait for tomorrow we re gonna rocket,1
1920,pls,0
1921,gf,0
1922,lol what evil,0
1923,yo,0
1924,gg we still have hope,1
1925,keep me in mind for og  final goodnight ahhahahahah  f bulllissjh for tomorrow,1
1926,a,0
1927,exactly,0
1928,it s above  buddy  ain t no body listing lower  we catch them and they gone,0
1929,youre brit,0
1930,do it for her,0
1931,a,0
1932,lfg,1
1933,lfg,1
1934,yea,0
1935,warlocks are charged,0
1936,a,0
1937,i need wl,1
1938,lfg,1
1939,i still have hope,0
1940,sol,0
1941,the future is now,0
1942,i m sorry but this isn t true,0
1943,a,0
1944,lol,0
1945,congratulations boss,1
1946,a,0
1947,pls notice me,1
1948,lets keep it rolling guys,0
1949,consider your brother,0
1950,theres little to no evil in the uk,0
1951,wl please,1
1952,lets take it higher   above the moon we are in together,1
1953,when wl,1
1954,sol or nothing,0
1955,same hope i ve had since day     you fading me errday though what i do  punishment much,0
1956,a,0
1957,predict fp tomorrow,0
1958,can i join the supreme team,1
1959,pls i want to join the warlock list this will make my birthday a memorable one tomorrow,1
1960,give me your wl and i will tell youdeal,1
1961,here go and submit your address,1
1962,a,0
1963,love to seeee ettttt,1
1964,lol,0
1965,make me a mod and i will handle all,1
1966,london,0
1967,hello everyone,0
1968,please wl,1
1969,a,0
1970,well i still believe in that,0
1971,why wl easy and og hard then,1
1972,sorry to ask but where u from,0
1973,wen og bro we need to invade big,1
1974,it was hope that killed my great grand cuz,0
1975,that s the spirit,0
1976,haven t lost hope,0
1977,a,0
1978,wl,1
1979,proud mfker,1
1980,please how do i submit address,1
1981,just notice me  i have been begging,1
1982,you know i ve been an og since day  you ignoring me   i want to believe mint as an og oh great one,1
1983,well i am part of the    not sleeping till invading,0
1984,at least it s not        there s still hope,0
1985,you just killed mine and a lot of others dream,0
1986,nne what is your heart desire,0
1987,a,0
1988,i believe in that chance,0
1989,i disagree i think the world is more evil than good which makes it unfair that s why i m not sold on the world being balanced because the two sides are not really equal,0
1990,not sure he did,0
1991,thanks for the wl,1
1992,this reminds me of art of mob this is exactly how the night before mint was they were just giving out wls just like this cos most people with wl got purged cos they didnt submit their wallets on time they ended up doing very well the next day  i believe we getting to space tomorrow,1
1993,please bless me,1
1994,i love this art and the pfp i am having right now is fire   ngl,1
1995,sad,0
1996,wtf,0
1997,moreover alex replied,0
1998,you got wl,1
1999,i have been begging,0
2000,a,0
2001,a,0
2002,wen colour blue,0
2003,aye,0
2004,it is cause it s filled up already  probability of og now is,1
2005,thanks for the wl in advance,1
2006,notice meee,0
2007,cant you see me,0
2008,wen wl,1
2009,pls wl,1
2010,can og mint when whitelist is minting incase they are late for their own  min minting,1
2011,a,0
2012,hi,0
2013,a,0
2014,the boss is observing meticulously    show me love boss,0
2015,thanks,0
2016,i shared some amazing fan arts before i lost my mobile and it had lots of reactions wen wl pls,1
2017,how are y all doing,0
2018,aye,0
2019,im open to your thoughts,0
2020,congrats fam,1
2021,og is hard asf,1
2022,a,0
2023,hiii,0
2024,hello guys,0
2025,congratulations,1
2026,okay then,0
2027,easy to get wl but og hard asf lifes hard,1
2028,gg buddy,1
2029,thanks for the wl,1
2030,congrats,1
2031,wont say nada,0
2032,reddddddddd,0
2033,a,0
2034,yh,0
2035,bro how come youre my og and im not  your og thats just not fair,1
2036,congrats,1
2037,a,0
2038,asap thanks,0
2039,yes it is the good and the bad,0
2040,a,0
2041,thank youuuuu,0
2042,thanks man,0
2043,congratulations,1
2044,please bless me dis night,1
2045,what do i have to do  i keep doing everything you ask but you ignore  you ve abandoned me,0
2046,what should i do for a wl,1
2047,will you marry my sis in exchange for wl,1
2048,congrats,1
2049,run upyour warlocks address real quick  congratulations,1
2050,yo i lost my mobile and i had to set up a new i had been here since the very beginning,0
2051,will you favour me,0
2052,thanks buddy,0
2053,give me red please and i wont,1
2054,wow i won wl,1
2055,im alright,0
2056,when is the mint time tomorrow sir,1
2057,alright give me a few minutes,0
2058,i am fine and you,0
2059,bless me,1
2060,a,0
2061,please don t,0
2062,when redddd,1
2063,do you genuinely believe the world is balanced,0
2064,wassup,0
2065,hahaha,0
2066,yes  you need to send a video of the frog saying  hey supreme i m chime and i m a frog,0
2067,close your eyes and ill come to you,0
2068,hello,0
2069,im super happy,1
2070,i believe alex have replied your dms,0
2071,hello guys,0
2072,the world is balanced god created the good and the bad he knows why in science theres  sides in life theres always  sides theres  side to a coin,0
2073,congratulations fam,1
2074,congrats mate,1
2075,a,0
2076,damn,0
2077,hello,0
2078,your welcome bro,0
2079,you truly wise and merciful thanks,1
2080,if i do can i get og,1
2081,congratulations,1
2082,hii,0
2083,my activity says alot,0
2084,hey great one you missed a spot with the purple paint,0
2085,pls grant me my heart desire,1
2086,wen og,1
2087,not hard for,0
2088,ok  turn into a frog,0
2089,when wl,1
2090,go and submit your wallet here,1
2091,you know it s true,0
2092,i can be anything for you lol,0
2093,hahaha thats true cant fool you,0
2094,wassup guys,0
2095,i would rather live a  boring  and primitive life if it means all the evil in the world ceases to exist there is no balance it is just unfair,-1
2096,you joined on the  of may but this is your  message,0
2097,lvl  purple purple,1
2098,no  but you re venus and not mortuus,0
2099,thank you   i love you,0
2100,og for me sire,1
2101,please i have been begging wl,1
2102,i know this may be hard but id really love an og spot ser   ive put my heart into this community sensei,1
2103,i m fine buddy,0
2104,when my purple,1
2105,heyyy,0
2106,im good  wbu,0
2107,did i offend you,0
2108,purple please,1
2109,wen og,1
2110,alot of purple,0
2111,lol,0
2112,blzzzzzzz gib red colour i,0
2113,i pray you turn red supreme grant my wish,1
2114,we in this together mate,0
2115,hello ebube,0
2116,make me purple pls will you,1
2117,blessing lots of people today youre super indeed  im still craving an og role boss,1
2118,a,0
2119,how are you doing,0
2120,deserves an og role,1
2121,thank you for giving up bruh,1
2122,what sup,0
2123,im not ready xd,0
2124,well it is what it is,0
2125,hi,0
2126,i have been here since the start of this project and shared a couple of fan arts but still not noticed    wen wl ser,1
2127,hello everyone,0
2128,i need og,1
2129,nope you need the good and the bad to balance the sphere of life  light and darkness   if the world was made only for light trust me youd be bored  if the world was made only for the good and evil doesnt exist most shii wont be out today most inventions are from the bad,0
2130,please grant me my wishes,1
2131,wl please,1
2132,hi,0
2133,yo,0
2134,do this  pleaseeeee  this is so thoughtful,1
2135,itll be boring if  was good like we dont always have to be good,0
2136,all of ya should go and submit your wallet everyone,1
2137,hey fam,0
2138,i give up  ngmi,1
2139,hes not online,0
2140,are you sleeping,0
2141,gg to me more power to you,1
2142,i see everyone is really hyped for tomorrow,1
2143,hello guys,0
2144,wen are you granting my wish,1
2145,a,0
2146,exactly,0
2147,a,0
2148,wl please,1
2149,please give this guy og,1
2150,so good people can t be interesting,0
2151,to the stars and beyond,1
2152,u are very welcomeso lets get ready to invade,0
2153,a,0
2154,a,0
2155,its big guys,0
2156,there s so much evil in the world how many of us can say we are having fun with the way things are if everyone was good things will definitely be more enjoyable,0
2157,a,0
2158,its all over my twitter too  i hope the rest hommies do the same,0
2159,ive noticed alota colour changes today  except mine,0
2160,where in space are we heading to actually,0
2161,lol thanks,0
2162,yeah,0
2163,soon brother,0
2164,grant my wish ser,1
2165,lol,0
2166,you don t want wl,1
2167,wen og for me,1
2168,thats very true,0
2169,done on all my socials,0
2170,interesting,0
2171,why,0
2172,im sorry fam,0
2173,the chronicles of the space warlocks  before the sun and stars  of the milky war began to burn there was an ancient race of warriors immortals defenders of the universe under the leadership of the  they brought peace and order in all the  realms  on the  day of the  moon of the year  the space warriors shall reveal themselves to the humans the inhabitants of the  plant,0
2174,lol no u dont get some sleep,0
2175,what s your definition of fun,0
2176,let me open ticket and tell,1
2177,a,0
2178,have mercy on me,1
2179,a,0
2180,true though,0
2181,really,0
2182,come here,0
2183,i disagree,0
2184,a,0
2185,a,0
2186,pleasee dont forsake me gib red colour blzz,1
2187,goodluck,0
2188,see this one    have mercy on him  he is too stubborn,0
2189,how s the family,0
2190,gl,0
2191,okay,0
2192,i agree,0
2193,hi guys,0
2194,said,0
2195,i cant access it,-1
2196,my       on og role,1
2197,amazing one i wont lie lets create awareness about the project more  the world must see it,1
2198,thought we were friends,0
2199,now i get thanks dear,0
2200,if everyone was a good person trust me the world wont be fun,0
2201,a,0
2202,a,0
2203,og role,1
2204,to the universe,0
2205,working deligently is an understatementhe did a great job,1
2206,a,0
2207,i was only trying to help check it out it was an invalid user u tagged,0
2208,you can give to me,0
2209,redddd,0
2210,ahn ahn og,1
2211,ah yea,0
2212,guys lets keep creating awareness about the space ship  the whole idea is lite trust me,1
2213,naso,0
2214,post the screenshot on  and tag me,0
2215,if he accepts okayi was trying give it out,0
2216,hi mate,0
2217,one wl,1
2218,a,0
2219,im going to sleep have a nice day or evening,0
2220,but not scared of giving your wl away,1
2221,what s good,0
2222,you don t want,0
2223,can give someone else,0
2224,fvck i missed the giveaway,-1
2225,i need wl biko,1
2226,my wl got revoke,1
2227,hey wasup,0
2228,not for all of us,0
2229,i know but basically everybody can be a good person,0
2230,lol i m scared,0
2231,lol i need ogive been wled over a month,1
2232,indeed,0
2233,sigh how would i submit my address when i dont even have wl,1
2234,wassup degen,0
2235,yeah someone hmu with that dont know what that is tho,0
2236,i should have posted it here but not working,0
2237,hi guys,0
2238,holla,0
2239,i  will,0
2240,you can give it to me mate,0
2241,ask your fren to login your discord and register from his,0
2242,sleep well shuga,0
2243,hello fam,0
2244,yo,0
2245,gm fam,0
2246,rest,0
2247,pictures aint a true representation of who we are my fren,0
2248,og wallet address,1
2249,wagmi hopefully,1
2250,im craving an og role i ask you in a low low tone    oh   just do it,1
2251,welcome what we do for the community,1
2252,congratulations,1
2253,man just watched their video on twitter  im crazy amazed and excited   man  did his work diligently,1
2254,good night love,0
2255,submit your addresses please,1
2256,how,0
2257,gm,0
2258,won warlock now on giveawaybut i got warlock list alreadywhats the update,1
2259,wagmi,1
2260,bless me with og role please,1
2261,gm warlocks,0
2262,gm,0
2263,lfg,1
2264,thanks buddy,0
2265,link not opening,0
2266,lol i know but some people are looking for collab to be honest,0
2267,y all,0
2268,boss,0
2269,you tagged an invalid user,0
2270,gm warlocks,0
2271,okay my princess you can sleep daddy is always here for u,0
2272,so happy,1
2273,you dont look that evil on you profile picture,0
2274,congrats,1
2275,pls bless me,1
2276,coz na una be boss men na una face we dey look,0
2277,lol relax man,0
2278,hahahaha,0
2279,whats wrong  speak up,0
2280,tbh those last statements wasnt needed lol,0
2281,lol yeah,0
2282,give me og role blow powder give me og role on a serious note give me og role let me buga,1
2283,you dont mess with a seer from the vision clan,0
2284,make me purple pls,1
2285,hii,0
2286,lfg,1
2287,ok i just jumped out of stickmen   so im panicking,0
2288,the art is one of the cleanest in nft space irrespective of the chain its being minted on,1
2289,please my phone is not working well i can t link my wallet can i give the wl to a friend,1
2290,keep it coming guys,0
2291,i need a change of color i have the funds to mint this project twice not like some people looking for collab to infinity and beyond,1
2292,i feelsleepy,0
2293,a,0
2294,still waiting for your comments guys,0
2295,my sunshine how are you,0
2296,evil and good doesnt,0
2297,so fvcking grateful,1
2298,my lover,0
2299,a,0
2300,try again,0
2301,just gib me wl,1
2302,we are taking over tomorrow,1
2303,i will be happy with og,1
2304,my first lady,0
2305,thank you,0
2306,win it all,1
2307,i dont know you but i love this guy,0
2308,and you still can be a good person,0
2309,thanks blaq,0
2310,i wish for a wl,1
2311,nah u add chimpana to your name,0
2312,because the chicken is getting ready to invade,0
2313,good morning how was your night  we would be having the same colour soon,0
2314,og,1
2315,my spell isnt working,-1
2316,will observe you,0
2317,supreme being,0
2318,wassup,0
2319,please bless me,1
2320,please consider him  he has tried,0
2321,my champion,0
2322,yo,0
2323,collab,0
2324,im actually a bad gurl,-1
2325,not important to mekeeping the art and framing it up,0
2326,you alone can gift me a fanciful colour  wl pls,1
2327,hello clinton,0
2328,accept request,1
2329,a,0
2330,lol relax anything can still happen,0
2331,bruh why did i have to eat a frog and not a chicken,0
2332,lol,0
2333,you don t want to reply me,0
2334,ready for the mint,1
2335,gbayi,0
2336,goodnight daddy  love you,0
2337,see as you dey whine me boss why you go dey call me boss,0
2338,not sleeping until my wish come true,0
2339,bless me sir i want to go to space with you,1
2340,collab,0
2341,what s good fam,0
2342,gm,0
2343,oh lawd     ngmi,1
2344,blessed the enchanter,1
2345,sol or nothing,0
2346,turn me to reddd blzz,1
2347,love you supreme,1
2348,tomorrow we take over,0
2349,go to   and try your luck,1
2350,collab,0
2351,guys lets run this quick   what do you think the floor price would be   lets keep this energy positive       id start first  sol,1
2352,whats up,0
2353,hi,0
2354,lol,0
2355,thats sweet   i think you are a good person,0
2356,you re blessed,1
2357,maybe i will maybe i wont fingers crossed xd,0
2358,lfggggg,1
2359,i want wl,1
2360,wetin dey for boys na,0
2361,i wish for red,1
2362,sliced my head off just before eating a poisonous frog    karma,-1
2363,go to   and try your luck,1
2364,i wont go until you bless memy angel,1
2365,yo,0
2366,tomorrow is mint day,1
2367,clean art fr,0
2368,you see all my cries answer my call,0
2369,yo,0
2370,almost thought  was gonna win that rumble at some point,0
2371,lets grab it and move too the moon,1
2372,redddd,0
2373,i wish for wl sir,1
2374,hi hows everybody doing,0
2375,who s hyped about tomorrow,0
2376,what  but someone told me theres a lot of spots,0
2377,wl please,1
2378,ion think anyone deserves so much pain,0
2379,hi mate,0
2380,a,0
2381,hello guys,0
2382,a,0
2383,boss,0
2384,you re welcome,0
2385,please make me smile tonight,1
2386,very good,0
2387,if you are not bullish you are not serious,0
2388,youre welcome fam,0
2389,i want wl,1
2390,og pls,1
2391,keep going,0
2392,yes oo,0
2393,hey,0
2394,thanks hommie,0
2395,hello everyone,0
2396,hi,0
2397,am super bullish about this project sir,1
2398,if i win the giveaway does our  still on,1
2399,hopium,0
2400,invasion bro,0
2401,og daddy,1
2402,i ve priced two already,1
2403,i wish you get the wl,1
2404,thanks bro,0
2405,yo,0
2406,can the magic wand come close to me,1
2407,minting,1
2408,please change my colour lets smile today,1
2409,og giveaway,1
2410,hello dear,0
2411,i wish for a wl,1
2412,go and price a lambo now,1
2413,i want wl bro,1
2414,a,0
2415,hy,0
2416,i think im lost here   what invasion,0
2417,goodevening buddy,0
2418,whats up yall,0
2419,yp,0
2420,hello,0
2421,ofc og keeping me awake,1
2422,yeah we cant wishing u guys best of luck tho,0
2423,lets create few more games for go wl just to keep people gingered and active you know   the mighty mint is tomorrow     or what you feel hommies,1
2424,i like surprises,0
2425,if you believe you can achieve,0
2426,if it is really needed,0
2427,no bro i want to get my own wl and mint this project am super bullish about it,1
2428,who wants wl,1
2429,hi,0
2430,i pray amennnnnnnn,0
2431,hi,0
2432,yo,0
2433,congrats bro,1
2434,hahaha,0
2435,im cool fren,0
2436,wishing for og before bed time,1
2437,seen thanks,0
2438,your wish has been granted,1
2439,thanks theres a giveaway at the   channel good luck,1
2440,we will shock the world tomorrow,1
2441,i want og,1
2442,yes sir,0
2443,goodnight buddy get some rest and gain some energy for the the invasion tomorrow,0
2444,can i become og,1
2445,yeah,0
2446,av,0
2447,wen wl me,1
2448,hi,0
2449,who s from nigeria,0
2450,we selling out but i need two boys,1
2451,change my colour please,0
2452,hey guys,0
2453,og please,1
2454,do you want to collaborate,1
2455,you cool with  bullets to the head nice,0
2456,keep rolling,0
2457,i need wl abeg,1
2458,we will overcome them tomorrow,0
2459,goodnight,0
2460,aye,0
2461,ok sir,0
2462,gn,0
2463,we cant help it,0
2464,i wish for a wl,1
2465,i wish for wl please,1
2466,your pfp what project is that,0
2467,good night,0
2468,lol,0
2469,swears man,0
2470,nice pfp,0
2471,check it out,0
2472,alright thank you,0
2473,about,0
2474,lol sol undercutters are getting out of hand,0
2475,okay,0
2476,heyyy,0
2477,sol or nothing,0
2478,a,0
2479,mehn,0
2480,we about to go big guys,1
2481,make me smile dis night pls,1
2482,hi,0
2483,yea keep vibeing,0
2484,sad,0
2485,whats that,0
2486,he is merciful and wise  an ancient supreme being from outer space,1
2487,sad,0
2488,easy to all,0
2489,hey guys,0
2490,sure,0
2491,good to know bruv,1
2492,so where are you from the hood,0
2493,youre a big guy dawg dont get scared,0
2494,more rumble,0
2495,ok,0
2496,hi,0
2497,yooooo,0
2498,they dont listen,0
2499,to infinity and beyond everyone,1
2500,a,0
2501,not bad,0
2502,yeah yeah,0
2503,happy for it,1
2504,i m good  how s it going,0
2505,i know it doesnt lol,0
2506,lets get it,1
2507,i am impress by what i read  watched  in announcement,1
2508,fr fr i hope they listen,0
2509,oh yeah,0
2510,a game of luck,0
2511,sure ser,0
2512,tell a friend to tell a friend warlocks are invading,0
2513,na hopium lol,0
2514,im good and you,0
2515,oh ok fren,0
2516,gud too know dat buddy,0
2517,that much i really getting scared now,0
2518,i cant access the  to submit my address whats happening,-1
2519,i hope the  grants my eternal wish,1
2520,wassup,0
2521,definitely bro  to infinity and beyond,0
2522,you know it doesnt work that way,0
2523,hello,0
2524,sol on my mind   update me to og,1
2525,lol you think they would listen,0
2526,im fine thank you,0
2527,yup,0
2528,invasion is tomorrow,0
2529,heyy wassup,0
2530,i wish for a wl,1
2531,bullets to the head,0
2532,lfg man the warlocks are coming,1
2533,wawu much hype back,1
2534,because the chicken was in an invasion,0
2535,ok,0
2536,hi,0
2537,you will,0
2538,we are invading tomorrow,0
2539,i m gud and you buddy,0
2540,no asking,0
2541,a lot and you have more chances,0
2542,hello fren how are you,0
2543,a game of chance yeah,0
2544,what profit sorry i really dont understand,0
2545,guess we aint that lucky,0
2546,sure fren lets get ready to invade,0
2547,og,1
2548,please lets list above   everyone,1
2549,level,0
2550,quick and painless,0
2551,sure i do,0
2552,grant my wish,1
2553,i need to he the best warrior ever,0
2554,og ii spot,1
2555,is there a giveaway going on,1
2556,whats up guys,0
2557,yeah thats what i noticed,0
2558,how many spots is remaining,0
2559,play what,0
2560,where were you,0
2561,yes bro,0
2562,lol its a game nothing more,0
2563,sharing of profit,0
2564,i need og,1
2565,giveaway for og and wl,1
2566,just luck,0
2567,this evening  can t remember the time precisely,0
2568,me too,0
2569,okay thanks boss ill really appreciate if i get the wl,1
2570,seems i can still get og yeah,1
2571,oooooyeah,0
2572,i dont know how to play it fr,0
2573,whats collab,1
2574,omo,0
2575,i need wl,1
2576,nothing much tho just here and thereyou know how we role,0
2577,lets build our kingdom in space from where we will look down upon the earthlings,1
2578,a,0
2579,i need og ii,1
2580,im killing u with a gun i hate blades,-1
2581,lfg,1
2582,right,0
2583,what sup buddy,0
2584,time,0
2585,when i turn purple,0
2586,lol i got through raiding tho,0
2587,ooooogggggg,1
2588,imgood,0
2589,i did that and before i knew i saw someone have killed me i immediately rejected it though,0
2590,wagmi,1
2591,it is a game of luck,0
2592,oh ok that s great if i get wl am definitely minting it,1
2593,pls change my colour,0
2594,collab,0
2595,am trying to bring  attention to notice you a,0
2596,whats up,0
2597,we will see but im not going to be angry when it is you who will kill me,0
2598,today,0
2599,what sup,0
2600,rock  tomorrow,0
2601,tbh i dont know how to rumble,0
2602,og,1
2603,og,1
2604,when did you turn purple,0
2605,yooo,0
2606,i think it closes soon,0
2607,but you still need og,1
2608,what,0
2609,i believe there are newbies here  if youre confused do well to hit me up or anybody or the mods  ill be here help  well reach moon together,0
2610,og og og,1
2611,heyy wassup,0
2612,nope just react before the game starts and youre in,0
2613,a,0
2614,ok siri would do just that let me ride to space,0
2615,sure fam lfg,1
2616,higinme og,1
2617,omo so how is it a game,0
2618,tried already,0
2619,whats that sir,0
2620,anyone that wants to collab should hit my dm,1
2621,i dont know lets ask,0
2622,oh,0
2623,yeah bruh,0
2624,nope,0
2625,back to warlock,1
2626,ill get u next,0
2627,it is a great mint price,1
2628,lfg,1
2629,how are you doing,0
2630,submitted,1
2631,so i dont do anything,0
2632,you got wl already,1
2633,young warlock,0
2634,whats good warlocks,0
2635,i dont know how to play either but yeah all you have to do is join the game,0
2636,you got wl be thankful,1
2637,sol,0
2638,hi,0
2639,nice grinding fam,0
2640,and u too  what sup with you,0
2641,hello,0
2642,me too hopefully ill be able to,0
2643,what is the mint price,1
2644,indeed fam stick around,0
2645,its a virtual simulated game,0
2646,hit my dm if you want to collab,1
2647,supreme being thou art wise and merciful look upon me with  kind eyes,0
2648,whats the idea for the project,1
2649,hmm,0
2650,more please,1
2651,hy,0
2652,wen og,1
2653,who wants to collab,1
2654,ok sir am super active and boolish on this project sir we are definitely going to space s,1
2655,nothing just getting ready to invade hbu,0
2656,is that how it is,0
2657,i hope i get noticed,0
2658,a,0
2659,this one sha na cap,0
2660,when og blzz,1
2661,hi id like to be red cause reds my favourite colour,1
2662,more rumble sir,1
2663,i would love a purple color if granted,1
2664,i wish for a wl,1
2665,yo,0
2666,wen wl,1
2667,consider me pls ive been here for hours,0
2668,make em put  royalties if you paj below,0
2669,this discord server is buzzing everyone go  for whitelist,1
2670,fk,-1
2671,a,0
2672,a,0
2673,please i need wl,1
2674,how are you going too assure that role,0
2675,wagmi,1
2676,have been vibing and helpful boss hope i can get updated to og,1
2677,og please,1
2678,this is my first time playing rumble i dont understand  is there something im missing coz i was just seeing stories of people killing each other,-1
2679,i wish for wl,1
2680,you cannot connect your wallet since you do not have the wl role yet but we are still awarding the active members,1
2681,ehe nau  i no fit paste screenshot for here,0
2682,hello,0
2683,make d wish come true for me and him,1
2684,i wish for wl,1
2685,am fine dear glad to see you here,0
2686,we will dominate earth and space tomorrow,1
2687,hey guys,0
2688,i made a wish too,0
2689,a young warlock,0
2690,and aslo  said that they are putting a royalty fee in place to root out undercutters so they can be sent to hell,0
2691,oya ooo ive sent u the request on twitter nauuuu,0
2692,hello,0
2693,bruhhhh make god bread us abeggggg,1
2694,hi,0
2695,alright man,0
2696,how can someone do that,0
2697,thats how i like it    no jk,0
2698,okay im motivated,0
2699,hello,0
2700,yeah my bad,0
2701,og is my wish gimme purple,1
2702,i m gud dear an you,0
2703,i wish to turn blue,0
2704,wow thats amazing,1
2705,better list high oo  no fear,0
2706,wadup,0
2707,whats up,0
2708,me too big time,0
2709,whatever happens tho we all gonna make it,0
2710,hello dear how are you,0
2711,mecury copy the link from the channel and paste on your wallet browser,1
2712,i wish to turn to red,0
2713,am super happy for u hope you have claimed role on mercury,1
2714,give me your wl and take og,1
2715,another rumble,0
2716,hello,0
2717,oh yeah,0
2718,rumble u mean,0
2719,i wish for og wl,1
2720,wtf stop kidding  mad oooo  i don get hope,-1
2721,bro said play,0
2722,guy hopium dey kill o,0
2723,anyone up for collab,1
2724,damn i made top,1
2725,grats,1
2726,you strangled me,-1
2727,kek,0
2728,na almost  days guy i wan almost die then lmao,0
2729,but still the og role please,1
2730,sure but u need the wl role first,1
2731,swearz   exactly what i am hoping for bruh,1
2732,play around it  youll see where to sign up and link your discord,0
2733,i have been in here vibing and pleading,0
2734,yes nah their mp is even  sol they did  fp but they are now  though,1
2735,imagine  being the winner lol,0
2736,wl,1
2737,yeah lfg,1
2738,well i am vibing,0
2739,when wl for me,1
2740,at where,0
