,Chat_msg
3380,hello
3381,heyyy
3382,hello
3383,gn bro
3384,yoyoo
3385,have a good night guys see you again next morning
3386,found it c
3387,whats the address for the wl token o
3388,  can i still submitt my wallet  
3389,sometimes it happens
3390,be sure there isnt a space at the end of the address
3391,heyyaa
3392,hii
3393,wadap
3394,gm fam
3395,when wl    
3396,hmmthats odd as i can definitely find it using the same address
3397,lfg
3398,sup
3399,thanks i just did
3401,gimme talisman
3402,check  
3403,we feeling good that we can mint on mobile
3404,check  if you have been assigned the role just know try and raise a ticket because the wallet submition is already over i think
3405,wl damn   
3407, thanks
3408,wl wl de do yar
3409,welcome
3410,hello from mutant labs
3411,can you paste the address here also are you waiting for site to load as it takes few seconds before the token can be searched
3412,hello guys
3413,i coppied adress but naah
3414,my role has just been assigned and i haven t submitted my wallet
3415,whats up
3416,howre you
3417,cannot wait to see all the different fabulosa gringo made for us
3418,hi
3419,whats going on here guys
3420,hi
3421,hey guys
3422,z
3423,yep
3425,yeah im excited
3426,trying wl everywhere no luck  
3427,airdrop has started
3428,hello reay to mint tomorrow
3429,butyoucan get one on fff for  sol
3431,good evening
3432,heyy
3433,ok no worries
3434,yes unfortunately
3435,lol
3436,sup guys is it too late to submit wallet
3438,thanks ser
3439,how many are listed
3440,gn
3441,airdrop stil ongoing
3442,hii good night fam
3443,gm
3444,i haven t gotten my talisman
3445,gm
3446,sup fam
3447,hello guys
3448,sup everyone
3451,sup
3452,so long
3453,so not sure if i had to fillsubmit something additional d
3454,got wl role a couple of days ago from the sol army
3455,o
3456,in your wallet  bear in mind airdrop is ongoing
3457,how can i check if i received or will receive wl token o
3458,d
3459,gm
3460,ty bro
3461,yeah
3462, fp its this one
3463,is wl full
3464,httpsfamousfoxescomtokenmarket
3465,gm to all
3466,token
3468,can i have a link to buy talisman on fff pls  i cant find it
3469,it is ongoing until tomorrow so just wait for it
3470,hey did guru bohemia thats been staked got their token airdropped 
3471,get token
3472,  wl and  public
3473,hello airdrop
3474,gm
3475,gm fam
3476,does anyone know how much mint will be
3477,hello
3478,is there a public mint
3479,hi fam
3480,ahhh fair fair
3481,cant wait for tmr
3482,whats good fammmm
3483,buti dont remember the exact difference think it has something to do with projectcolabs
3484,different wl master i can check their wallet they enter master ii unfortunately cannot
3485,thank you
3486,just curious
3487,what does master  mean for me
3488,yes wl  utc and public  utc check the 
3489,hi
3490,confirming mint tomorrow
3491,go to  and check pinned message please
3492,check 
3493,yo
3494,honestly if you wanna buy in then read the wp there is a lot of utility within the whole woop ecosystem so it is quite complicated to explain it simply but if you are looking for a long term investment with great potential bohemia is definitely a great buy but i wouldnt recommend it for flipping
3495,how to check wl
3496,hi mate lfg
3497,hiiie
3498,gm
3499,iwi
3500,time for tomorrow
3501,hey
3502,huh
3503,how do i validate my guru bohemian
3504,gm did everyone get the latest airdrop already
3507,need liquid so bad
3508,if anyone need guru master for cheap dm me  below floor 
3509,now what i do here
3510,hi
3511,yo
3512,hello gm
3513,guys what is tthis project is second colletcion from bohemia
3514,will be watching you paper hands lol xxx
3515,gl all hope the mint goes well
3516,yes
3517,each wl recieved  token
3518,hey
3519,hey everyone lfg  fabulosa is very close lets woop woop
3520,hey
3521,hi from skate x
3522,actually no because bohemians remain our main collection separated from fabulosa the only thing they have in common is that they are part of woop ecosystem
3523,talisman master role means
3524,i need objectivity
3525,gm
3526,might be a bad move to buy now if airdrop is finished right
3527,im new to the community what are the utility of bohemia
3528,famous fox federation
3529,sorry bro
3530,no idea fam
3531,you can buy the wl token on fff tho
3532,no
3533,hey guys  anyone know what this token address is for which project
3534,woop woop
3535,if im buying a bohemia rn can i mint tomorrow
3536,guys how much is the fp right now
3537,hi
3538,opop
3539,when is the token distribution
3540,gm
3541,gm
3542,hi
3543,hi
3544,hello
3545,gmmm
3546,test
3547,helloguys
3548,gm
3549,cheers
3550,hey
3551, or pinned message
3552,the funds go towards prices for the gamified raffle system plus towards the development of the woop ecosystem
3553,token address is in announcements ser
3555,yes everyone only guru masters get the wl
3556,what is the name of it on fff cause not letting me search
3557,but just wanted to confirm
3558,i mean that s what i understand
3559,they have to pay too
3560,ok so even for those og bohemians and unlisted guru masters
3561,yes youhave to mint wl  and public  it is in the 
3562,fff
3563,can we still get wl token
3564,sorry if i m confusing you frodol
3566,gm
3567,im just a little confused sorry
3568,ahahahaha
3569,is it free mint for those people
3571,ok my question was more like
3572,oh but i still have to mint it right
3573,not sure it was little under  if i am not mistaken a little while back
3574,talisman is a wl check 
3575,how many masters r there
3576,oh so it s not the talisman token but the talisman itself
3577,what is the token called on fff i m trying to buy it now
3578,for unlisted guru masters not all bohemians
3579,youcan by talisman on fff
3580,excited for this
3581,hi guys
3582,starting a new week lets go up
3583,just curious like is the talisman a free airdrop for any bohemia holder  idk i ve been hearing things
3584,can i ask
3585, tomorrow token add
3586,yo
3587,yo
3588,hello everyone
3589,gm
3590,yep i submitted  ago
3591,yo
3592,hey
3593,sup
3594,hello
3595,yeah really excited about the mint just got wl today and hyped af
3596,good thx wbu
3597,hello rotdev how are uyou fam
3599,hi
3600,gmgm
3601,rawr
3602,yeah as long as you submitted it in time u good
3603,feelin pretty good this am but tomorrow is looking fabulosa
3604,thanks
3605,good luck here in this crazy market
3607,hoo ok sad weeellll
3608,correct
3609,i fill up the form is that all good and wait for my token right
3610,hi
3611,gm
3612,gm guys
3613,hello
3614,actually you dont have wl role fam
3615,was in a family trip
3616,no possible to regidter my wallet anymore
3619,gm
3621,woopwoop
3622,letgo
3623,hey whats up
3624,hey guys
3625,hello
3626,hi
3627,wadap
3629,love yall
3630,im touching grasss again
3631,coincedence
3632,wtf
3633,just got it
3634,oo wauw
3635,awesome ready for mint
3636,that an issue
3637,just found out i got my  gurus staked apart from my transporti only sended the bohos to ledger
3639,yo fam
3640,talisman
3641,got the tajmahal lfggg
3642,what i missed
3644,gm
3645,all good and you
3647,how are you today
3648,so somebody tell me i have wl or no
3649,hello
3650,hi
3651,hi
3652,yo
3653,yo
3654,yh
3655,okay done that thanks so much
3656,oh
3658,gn guys
3659,yay
3660,deadline is tomorrow so you good  
3661,yay
3662,still expecting mine though
3663,yay
3666,send proof in a ticket
3667,i won a giveaway
3668,hi from nifty society
3669,g
3671,wadap
3672,hey
3673,hi
3674,lfg fam
3675,just got my  talisman     
3676,thx
3677,tomorrow at  utc the mint link will be posted on 
3678,ok thx
3679,u dont need the wl role
3680,if u bought the talisman you good
3681,i do that i bought talisman
3682,a snapshot was taken on the  of july
3683,check 
3684,meanwhile og bohemians will only enter a raffle of  talismans
3685,hi what do i do to have a wl role for tomorrow please i buy talisman just now
3686,no bohemian guru master holders will receive the talisman to mint a fabulosa
3687,is it fcfs only delisted bohemia get one airdropped
3688,yeah thats what i was thinking too  
3689,if all bohemia get  fabulosa how would u mint
3690,was thinking fabulosa supply  bohemia supply  all bohemia holders get one fabulosa airdropped right
3691,hi all received my talisman yesterday cant wait to mint my fabulosa and be a part of the bohemia ecosystem  
3693,ayoo
3694,hi from suteki
3695,yoo sup everyone
3696,wassup
3697,gm fam
3698,use official channels please
3699,ayo fam
3701,bring it on now
3702,come on wen mint already
3703,hi
3704,gm
3705,im selling wl dm me
3706,hello from suteki
3707,gm
3708,welcome everyone  
3709,hi from nifty society
3710,hi from nifty society
3712,gm
3713,waiting
3714,not yet but im trying
3715,thanks
3716,i knew 
3719,httpswwwfamousfoxescomtokenmarket
3720,go go go
3721,guru holders didnt have to submit
3722,everyone uses blocksmiths mercury for wl best way to do it no project shouldnt use it
3723,why wouldnt they use mercury for wl submissions lol im pissed i missed it
3726,damn whale
3727,guys in fff what is the name of wl token
3728,gogo
3729,for airdrop
3730,was there a snapshot for bohemia holders
3731,yes it is i didnt submint  just put my gurus in staking long ago
3732,how can i check
3733,guys in fff what is the name of wl token
3734,hnmmm
3735,hi
3736,hello
3737,man talisman are soo so soooo cheap
3738,hi guys
3739,yo
3740,   is  almost the price of public mint    and you get your without stress
3741,airdrop coming
3742,lets groove bohos
3743,gm     
3745,woopwoop
3746,if we own a bohemian can we mint a fabulosa
3747,gm
3748,wow
3749,congrats fam
3750,ita s token i forgot to submit wallet
3751,hi
3752, sol talisman in fffcrazy
3753,hello fam
3754,gm
3755,just received my  talisman    
3756,gm
3757,word
3758,its on going 
3759,the airdrop is still ongoing
3760,the link has not been release kindly disregard any link you see the link will be available tomorrow by  utc
3761,when airdrop
3762,gm
3763,tomorrow  utc in 
3764,thnk sir sorry brother
3765,yes this is fabulosa wl token address  
3766,fabulosa is  that is  magicwand the token address of the talisman is 
3767,check  fam its all written there
3768,those are the transportaris they have nothing to do with fabulosa
3769,token addresses transportari  transportari i   transportarii ii   transportari iii   transportari iv    that all i can try to mint  that is on fff list sir that real token of bohemia
3770,do you have mint link
3771,thank you
3772,hello everyone
3773,gm
3774,thnk sir i try it
3775,no tomorrow  utc
3776,no difference there is  of talismans aka mint tokens
3777,is the mint presale on rn
3778,wdym
3779,what difference sir
3780,that all mint token 
3782,what  is fabulousa mint token 
3783,cheers
3785,waiting for airdrop
3787,gm
3788,that was driving me nuts
3789,that s it thank you
3790,gringograss
3792,i m sorry to ask but i m forgetting the artist name for this project can someone tell me please my bad
3794,hello
3795,hey fam good morning
3796,gm
3797,hi
3798,heya there
3802,woopwoop
3803,me too broho cant woopin wait
3804,hey beautiful
3805,yeah so much   
3806,hi
3807,you excited for the mint tomorrow   
3808,hi handsome
3809,hi fam
3812,i wanna do an excited dance
3813,ok ty
3814,correct no overallocation
3816,so  including the airdrops right
3817,if you have guru status yes
3818,i think not long after the mint but i dont have any certain infos about that
3819,will bohemian holders get airdrops
3820,do we know how soon after the fabulosa mint well be able to cast spells
3823,what is the total supply
3824,yes ser
3825,thats always an option
3826, can you help me just got the role from brocoli today
3827,hello
3828,if we dont have wl we can get the token from fff and get mint tomorrow 
3829,gm gorgeous
3831,gm fam
3832,sorry famthere were multiple announcements made   
3833,so sadd
3834,i just gott the rolee
3835,we use bohemians own candy machine link will be posted in announcements tomorrow  uct
3836,bohemia developed its own mint site for it
3837,if you haven t filled the form you won t get one ser
3838,can anybody help 
3839,where will the mint take place
3840,f
3841,than i cant get my wltoken
3842,yes wl submission now closed after a final extension
3843,i just got my role now its closed already  
3844,ok bro thanks buddy
3845,everyone on wl will mint at the same time distribution of tokens is still ongoing
3846,still ongoing my fren im still waiting for mine too
3847,is it close already
3849,ty broo
3850,no
3852,we believe in magic  
3854,hey  
3855,role  will get early 
3856,we groovin
3857,q
3858,hello hello brohos  
3859,if u have  talisman wl token u can mint yes
3860,still ongoing
3861,airdrop don t receive
3862,still ongoing ser 
3863,you cannot check the wallet you inputted if youre talisman masyer 
3864,plz check  
3866,i can buy now for get the wl
3867, fabulosas will bring company to my  bohos
3868,where airdrop
3869,yes whatever wallet you submitted there will be considered
3870,i am so fucking excited fam
3871,so if we win they would have our wallet
3872,because the raffle is to fill them form right
3873,yes its the right one
3875,talisman master ii cant check the wallets they have submitted
3876,woop woop
3877,yeah i checket in 
3878,hwbout talisman 
3879,i think its for talisman master
3880,check the token address in pinned messages
3881,yo
3883,this is the real token 
3885,waaa
3886,gm
3887, u can check in one of the announcement theres a link to the wallets
3888,you can check here   
3889,gm
3890,yo sup lads
3891,gm
3892,woop woop 
3893,how do we check have we submit our wallet yet
3894,test
3895,ey
3897,not yet u can use the token address in  to make sure its the right one
3898,because mystic men are also dropping some same token for talisman n all pretty confusing
3899,token address is in the pinned message
3900,are u sure this is the token address
3901,   feed the  and  holders first
3902,looking forward to the mint just wish it wasnt so early  
3903,ayo
3904,hi
3905, hiolders been dropped   yet the bigger bag holders have not  except for your friend who has    this is bullshit
3906,i saw ppl listing on fff is it still not verifed there right
3907,okkkk
3908,talisman token is still being sent out   kindly wait for it
3909,hello
3910,airdrop is still going on buddy wait for a little longer
3911,can u help me with it
3913,i didnt received my talisman token yet got confused with the one mystic men sent
3914,hey
3916,woopwoop
3917,big day coming guys
3918,thanks 
3919,yes tomorrow  pre sale at  pm utc and public at  pm utc
3920,gm
3921,hello
3922,gm guys
3923,fabulosa mint is tmrw
3924,where is the talisman master channel
3925,the ones who won via raffle no need to submit wallet right
3926,yo
3927,hi
3928,im good chilling  
3929,public mint is tomorrow at  utc
3930,wl only mint unminted wl will go to public 
3932,woopwoop
3933,hello fam how are you
3934,hey guys
3935,no there will also be public mint
3936,do you need a white list when mint
3938,ty
3940,  date july     presale  utc   sol   public sale  utc   sol   one fabulosa per talisman 
3941,hi
3942,gm
3943,goodluck and see you tomorrow on mint day  
3945,ah alright ser thanks
3946,july  check  for detils
3947,so when th exact date for minting 
3948,yes
3949,for fabulosa mint 
3950,this the wl token right 
3951,hello fam how are you
3952,hey
3953,you will budd just hang tight air drop is still going on   
3954,i still havent received the airdrop talisman   what should i do
3955,hi all
3956,yo
3958,goodmorning guys
3959,who cares we know we have to mint thats it     woop woop
3960,good evening  
3962,gm
3963,why the token isnt verified in fff
3964,woopwoop
3965,let them fade 
3966,good gives me opportunities when people trying to make  profit
3967,yes u can
3968,hahha true
3969,worth
3970,yea bro these people are kids they dont know the project wort
3971,yes you can buddy  
3972,fff tokenadress is pinned
3973,same scenario a bunch will fade and miss the opportunity
3974,i can buy token on secondary market
3975,someones paper hands are others diamond hands we have a free market  
3976,fff lol
3977,where on me
3978,atleast show some respect to such a crazy art
3979,token base
3981,lol why are u guys dropping the token price like seriously  sol  
3982,hello frenz
3983,hi
3984,its on going right now  kindly wait for it
3985,how got wl
3986,hi
3987,interesting  
3988,check pinned messages
3989,check
3990,what is the token address
3991,thz sir
3992,me too they will come
3993,the token adress is pinned
3994,tomorrow
3995,wen mint sir
3996,okay then im still expecting mine
3997,i didnt fill out the form in time but will check the market  thanks
3998,distributing i mean
3999,if you filled out the form you will get it airdropped or you can buy one on fff also
4000,what do you mean by sharing
4001,so its too late to get a token for public at this point  just clarifying
4002,it is in the announcements
4003,the airdrops areongoing until tomorrow 
4004,gm
4005,hey
4006,i havent received mine though
4007,gm
4008,oh wait its not in sneakpeeks
4009,  almost fabulosa time  
4010,thetoken adress is in  and also between pinned messages
4011,i know i am just saying bohemia also is  and fabulosa is 
4012,okay then
4013,so can i see what the token looks like pls so id know it
4014,you can see in sneak peek the token
4015,good
4016,yes
4017,  gotta wait then
4018,nope fabulosa is different collection you can get more info here 
4019,yeah
4020,i got it on the first day they distributed tokens
4021,bohemia token
4022, is it tokenbased
4023,i got a token
4024, can i see it
4025,so that will make all of them  with the bohemia
4026,oh maybe yesterday 
4027,the day before yesterday
4029,yes received the day before yesterday
4030,what is the total supply of the fabulousa
4031,i haven t received mine yet but we will get it soon enough
4032,gm guys
4034, have you started sharing tokens
4035,who has received token
4036,hello
4038,hello
4039,hey
4040,super excited for launch tomorrow
4041,hows everyone doing
4042,woopwoop
4044,airdrop is still on going check 
4045,i have  master guru stakes received all the transportari airdrops but haven t got my role or talisman airdrop is there anything i need to do
4046,hello
4047,im so happy this is one of the project im looking forward
4048,thank ykuuu
4049,lfg
4050,s
4051,hi
4052,hi
4053,congrats mate
4054,what do you mean ser
4055,where doc
4056,ge
4057,ok gotcha
4058,if you already did it once  you are all good  
4059, pm utc tomorrow  
4060,what time is the mint tomorrow
4061,lfg
4062,i won bohemia wl
4064,gm
4065,gm
4066,yo
4067,yooo
4068,so should i fill the form again 
4073,gm
4074,we are so broken
4075,if  will get token
4076,also me
4077,the announcements 
4078,it s still in progress should be getting it
4079,cool cool hope you make enough jelly within public gl
4080,how do we get wl
4082,gl with it
4083,hey those wanting to buy any wl token off fff check   for the token id
4084,hey guys i got  guru staked and i have no recived my token yet
4085,hey guys
4086,yeah gl with it i am also looking forward to it gotto go check my sol price later  
4087,nice niceee cant wait
4088,about  rn after my brother mints his alter ego hes gonna try to add to mine to so hopefully should be enough before public i guess
4089,yo
4090, for wl holder
4091,how many jelly you stacked up so far
4092,hii
4093,lucky you mann still stacking some jelly waiting for public
4094,time
4095,same
4096,need to check for token airdrop
4097,july   that is tomorrow
4098,whats the mp btw
4099,hello
4100,wen is mint
4101,nahh not yet man been checking my wallet all day in anticipation  
4102,yeah bro finally thank you so much glad i made that decision  
4103,heyyooo you got your stuff all done token received
4104,gm fam
4105,nope not yet still waiting  
4106,have you received yours
4107,you ll get it soon enough just hang tight  
4108,yo
4109,how to claim wl
4110,hey just seen elika tweet
4111,hasnt recieved token a bit worry tho
4112,yup same here   can t wait to join the family haha  
4113,hey
4114,heyo
4115,pumped for the mint tommorow
4116,saw you finally got your rascal through metagenius grats on that mate
4117,hey nice to see you here bud   nothing much just hanging out here   
4118,whats up
4119,hey my man
4120,ok boss
4121,you will get it soon enough bud just wait a little longer   
4122,okay
4123,no not yet
4124,gm
4125,aye i just see i didnt get the key
4126,did u receive it 
4127,token
4128,yo
4129,guys its a token based or wallet 
4130,hello
4131,hey
4132,truth
4133,yeah it is crazy but someones paper hands are someone elses diamond hands
4134,hi
4135,hello unfortunately for talisman master ii it is not check out 
4136,gm
4137,hey friends
4138,  here he uploaded his
4139,guys a man is trying hard i liked his   hope he gets wl
4140,gm chat
4141,hi all
4142,man looking impossible to see the wl floor at  lol people gonna regret
4143,hi is there a way to make sure that i ve filled the form or should i fill it again
4145,gm
4146,thanks beauty
4147,it is in  or pinned messages
4149,address please
4150,what is it about
4152,it is weird but that is how it is atm
4153,gn
4154,lfg
4155,mint soon
4156,hi ser
4157,gm
4159,go highly 
4160,wtf
4161,hii
4162,you can get one at fff possibly it is around  sol atm
4163,q
4164,gm
4165, thanks for inviting
4166,hello bohemia
4167,hey
4168,hello chuk whats up
4169,hi
4170,thanks
4171,as easy as that lol
4172,afraid of
4173,you can check your address here   
4174,yeah it s underway
4176,can you check my address
4177,token airdrop 
4178,lol you can t ask for wl tagging mods bud if you are deserving enough you will get it but i don t know if there s enough time for wl tasliman airdrop has already started
4179,whitlist plzz    
4180,yo
4182,hello fam how are you
4183,jo
4184,but do check if your wallet is in the list   
4185,gm
4186,no you already did when you filled the dyno form
4187,please check 
4188,do normal talisman master still need to submit their wallet
4189,yo
4190,will token be verified on foxy
4191,man i m worried i haven t submitted my addresss but i m sure i had lll
4192, more hours
4193,still going on you need to hurry 
4195,check 
4196,yoyo
4197,heu
4198,helloo
4199,lfg guys
4200,hey all
4201,wallet submission closed
4202,yo
4203,gm
4204,hi
4205,one day my luck will change lol
4206,gg to the lucky  winners in yawww
4207,hi guys whats up
4208,gm
4209,yo
4210,gm
4211,gm
4212,hello sir howare you
4213,hello
4215,woopwoop
4216,sista     talismans at least  needs to be
4217,are you feeling lucky  
4219,i need christus or aeries for the mythical spirit traits anything less is a failure
4220,awesome
4221,hi
4223,gg broho
4224,found it
4225,okay sorry
4226,im manifesting a rare fabulosaor   
4228,hello  fam i cant see the talisman submission channel
4229,hmm
4230,hey
4231,thank you sir you can still try for a talisman in the sorting hat for woop or public possibly do you thinkabout it
4232,hello
4233,gl people
4235,but fabulosa mint tomorrowcannot wait
4236,nyaw
4238,last day of my holiday for me work is waiting for me tomorrow
4239,hope you have a great day fam stay groovy
4241,yes got to get ready for work
4243,time to get this monday started huh  
4244,real good just getting up from bed
4245,on top of the world my fren hows life at your end
4246,how are you fam
4247,hey handsome
4248,hello everyone
4251,where in the world do you live
4252,im still waiting myself brohoall will be groovy
4253,thanks ser for providing info coz still i cant receive
4254,just a touristic town about  from where i live just a short getaway and a hotel stay
4255,nice
4256,lovely where did you go
4257,still being distributed my fren
4258,yea i did took as mini holiday with my wife
4259,recharges the soul for sure
4260,im chilling with my fam as well
4261,things are always good in the land of the bohos fam   did you have a good weekend
4262,is all token sent or still remaining
4263,gm
4264,hello sir doing great and just chillin with the fam
4265,gm
4266,uuuu nice it is so awesome to go offline for some time and realise no one actuallycares about nfts lol  
4267,hows things over here
4268,hello everyone
4269,gm   
4270,maybe haha but met few great people on the way back home so everything is as it should be
4271,bonnie scotland
4272,uuu looks epic where is that
4273,ok thanks for the response
4274,notyet
4275,not yet brohotheyre still being distributed  
4278,have you guys received a talisman tokens already
4279,ive been out in nature myself too
4280,gorgeous
4281,maybe that was the universe telling you to get back to the land of the bohos      
4283,yeah been tracking the balkans but unfortunately got covid in the middle so needed to make it shorter but at least i am ready for the upcoming mint
4285,doing gods work
4286,were you out touching grass recently  
4287,hello everyone how are you guys doing
4289,hey handsome im over here grooving as always
4290,hi
4291,i can t access the talismanmasterii channel
4292,hi
4293,gm
4295,hello  how have you been
4296,yo
4297,no exact time set but knowing the team it wont be long
4298,hi
4299,too late for wl my fren
4300,how long after mint will the gamified raffle system will be out
4301,no you just need woop you can get it in raydium
4302,do i need a bohemian to take part in sorting hat
4304,how do i submit wallet
4305,but idk if its too late for the talisman
4306,idk i want a boho
4307,why don t you just buy the talisman token on fff
4308,where can i submit wallet
4309,if i were to buy a bohemian rn could i get talisman
4311,hi
4312,got the talisman
4313,how cool it looks
4315,do i need to send my wallet adress
4316,hey fam i am a premium boho but didnt get a talisman yet   i hold  gurus but didnt get the guru master role is that possible    thanks fam
4317,h
4318,a
4320,cope
4321,gm you gorgeous soul
4322,gm gm gm
4323,gm beautiful
4324,gm
4325,hmmm im not  surei thought all the wl talisman master roles had been given outi could be wrong tho i do know that theyre in the process of being sent out and we should all have them by tomorrow still waiting on mine too
4328,ah so should i wait to receive the role i won wl so i guess it will be sorted out
4330,woopwoop
4331,grats
4332,woop woop to that broho
4333,yeah lmao i got my talisman 
4334,ohh 
4335,hay good looking
4336,you dont have talisman role my fren
4337,yoo
4338,i couldnt fill the form and cant access the channel unfortunately
4339,hey
4340,you passed  
4341,ohh i don t think i have the channel
4342,the very one cheers broho
4343,test
4344,hey gorgeous
4346,i cant see it as i dont have that role
4347,there should be a talisman channel for you to submit wallets
4348,hi all
4349,how did you get form
4350,hello
4351,thank you
4352,how do i check if i have i m pretty sure i did already but wanna double confirm
4353,youre most welcome broho
4354,in mercury
4355, otherwise
4356, sol for wl
4357,yipyou have the talisman role so as long as youve submitted your wallet youre golden
4358,whats the price of mint for talisman 
4359,perfect thx for the quick response
4360, game for talisman plis  
4361,theyre still being distributed famyou should have it by tomorrow
4362,am i wl yet
4363,whats the role for wl
4364,hey gorgeous
4365,i filled out the dyno form this morning wen recieving talisman
4366,hey
4367,hi handsome
4368,hey beautiful
4369,mint tomorrow and i don t have my talisman yet 
4371,hi
4372,gm
4373,hope you all had the best weekend
4374,gm boho fam
4375,gm bohemians
4377,refresh your bohemian nft in matrica once matrica profile reflects your boho as guru you will eventually get the role
4378, thnxz guys
4379,hola
4380,why i didnt get guru master roles
4381,test
4383,thankyou sir
4384, here
4385,just fill out the form  gave you  
4386,here 
4388,sir i cant find where to paste addrss
4389,hi
4391,hello
4392,hey
4393,test
4394,gmgm
4395,gm fam
4396,oh  i wrong xd
4397,u can see in 
4399,gm
4400,yo
4401,excuse me has the wallet been closed
4402,guys around wat price will be the mint any idea
4403,guys tomorrow is the mint
4404,whats mint price
4405,thnxz bro
4406,yes
4407,guys tomorrow is the mint
4408,yoo
4409,gm
4410,hi from meta drago
4411,wooo
4412,guys this will be another project for bohemia or it will be same project 
4413,woopwoop
4415,i win from my other dao
4416,so wit the token i am fine i hope   i just need to wait
4417,heyy
4418,currently all tba
4419,wassup guys whats everyone up to today
4420,how much woop will these things make when they are staked
4421,thnxz alot bro i did not imagine i will get the token thnxz to the team   anyway bro when is the mint wats the supply and the price
4422,that is wl role
4423,if u got the token they will give the role
4424,hey mates good morning
4425,pls who are the talisman master 
4426,if you got the token youre good
4427,yes bro how i get it i just have the token
4428,the wl role
4429, how to get the role
4430,you need the role
4431,just wait for the mint
4432,yessir
4433,i think it is matching bro so wat i should fo now bro do i need to submit my wallet or just wait for the mint
4435,token adress  the token address of the talisman is 
4436,address of the project u mean bro who send me
4437,yes check if adress matches
4438,thanks pal
4439,guys i got airdrop this will be for wat is it wl token for the mint
4440,welcome everyone
4441,hi guys
4442,i still havent got my talisman token yet
4443,yo
4444,hello all
4445,hey
4446,hi all
4447,niice
4448,oh i see its the same
4451,  the token address of the talisman is 
4453,check ur address in 
4455,it s the quickly for me  
4456,is this legit or scam
4457,can i quickly get whitelisted before wallet submission ends 
4458,good morning
4459,heyyy
4461,i don t do undercut
4462,yo
4463,should have i compiled a form right because i cant find it
4464,haiii
4465,yo
4466,hey fam
4467,submitted wallet
4468,if your guru master was staked means you will get airdropped talisman without submitting your wallet yes on top of that you need  sol for minting
4469,whats going on for today
4470,i have a guru master so does that mean i just need  sol and the talisman will be airdropped without me submitting my wallet
4471,hi peeps
4472,ssup all
4473,gm
4474,good morning
4475,ready  thanks
4477,hey there 
4478,sup all
4479, here
4480,winners are going to be given roles 
4481,gm fam
4482,mercurio google doc etc sorry for my english  where to send the sol wallet
4483,are you the famous indian undercutters 
4484,india
4485,heyo
4486,hey
4487,hi
4488,canada fren  you
4489,that s great  where are you from
4490,fine idolo
4491,how are you doing fren
4492,if you whine me again
4493,gm sensei
4494,gm
4495,gm guys
4496,thank bro
4497,gm mates i hope you have a good day
4498,hey there who could i contact for a wl spot i won im coming from project hive couldnt join this server before 
4499,thanks fam
4500,ok
4501,what do u mean
4502,people who had talisman master ii wont be able to check their wallets  as long as you submitted youre good
4503,wow
4504,talisman master  cannot check their wallet
4506,where is the wallet shipped
4507,hi
4508,i just submitted my address on dyno how to check my address submit successfully
4509,gm
4510,me as well
4512,woopwoop
4513,cant wait to see talisman in my wallet 
4514,no worries fam
4515,thanks
4517,it is still on going 
4518,hey i don t get airdrop
4519,a snapshot was taken for og bohos too and  talisman will be airdroped to lucky winners but its not a guaranteed win
4520,thanks have to go woop
4522,woopwoop
4523,woopwoop
4524,am good than thanks
4525,gm if you had a master guru staked when snapshot was taken youre good
4526,          
4527,gm do i have to do anything to get talisman airdrop
4528,hi
4529,hi
4531,gm
4532,gm frens
4534,lovely
4535,gm
4536,hello everyone
4537,sdfj
4538,gm
4539,hi
4540,hello there
4541,get some fam 
4542,gn
4543,hellooo
4544,hello
4546,my bad i need to drink my coffe first  
4547,wrong announcement channel was sent   i sent u the official one
4548,gm
4549,geeezz i thought that one hahaha okeyy bozz thankss 
4550,its here 
4551,qq
4552,why i cant see the announcement channel 
4553, supply of fabulosa
4555,you can check the token adress in   its posted there
4556,congrats and see you on mint day
4557,correct
4558,i have received it okay thanks brother  all i need to know   
4559, supply 
4560,have you received it yet if yes then just wait for the mint it will serve as wl token and needed to mint
4561, please check it wallet submission closed in few hours   
4562,mnt price is  right
4563,no youre good to go once you have the talisman token
4564,gm
4565,we cant send link here  i received a talisman and want to share the solscan to verify if is it the official one
4566,  i received this wl token
4567,so i m a talisman master would i need to verify a wallet or anything or is just having it in my wallet all i need
4568,i bought wl tokens on secondary do i need to submit wallet
4569,whats up
4570,check official and legit token address at 
4571,cant wait to mint
4572,fabulosa you mean  mint price
4574,hey i got a quick question  can i ask
4576,hey fam what s good
4577,talisman solscan please 
4578,talisman master mint price
4579,hi
4580,gm
4581,make sure to use the token address at 
4582,send friend request we can discuss how to get better ifloveto hear your experiences
4583,gm
4584,hello jinjo how are you
4585,start with 
4586,yo
4587,hi yall
4588,token address is in 
4590,yo
4591,gn
4592, today token add  sir
4593,you guys followed me on twitter thank you guys 
4594,no worries fam 
4595,ah i see thank you
4596,well i have been struggling with that too
4597,damn work day busy day
4598,what u mean fam
4600,its a wl token youll use it to mint 
4601,gm everybody
4602,get some more sleep
4603, please tell me when the token was added
4604,is this just an airdrop that i automatically receive or something i need to mint sorry if this is a dumb question  
4605,morning
4606,yeah a bit unwell today so slept like  hours today lol
4607,need some sleep but few more hours left and im done with work
4608,thank you
4609,helloo
4610,yeah nice lets keep rolling fam
4612,hey
4613,busy at work but doing good 
4614,gn
4615,i was told i need to somewhere
4616,hey guys i won bohemian gen  wl but not sure where to register my address
4617,hdh
4618,never mind how is your monday treating you
